LC_Up_Regulated_Genes,Signalling,DCT1,DCT2,DCT3,ERST2,ERST3,LC1,LC2,LC3
Galnt15,LC_DCT_LC_UP,1.2,1.17,0.63,2.59,2.21,36.64,37.23,34.42
Gadd45g,LC_DCT_LC_UP,48.15,44.18,90.26,38.39,41.52,205.29,252.16,214.71
Gadd45b,LC_DCT_LC_UP,18.6,17.2,16.58,26.31,21.53,140.18,151.41,138.16
Gabarapl1,LC_DCT_LC_UP,36.25,34.28,38.18,39.82,42.77,103.48,105.2,101.85
G0s2,LC_DCT_LC_UP,22.35,25.1,13.43,63.03,54.62,1099.45,1280.72,1083.94
Fzd9,LC_DCT_LC_UP,0.4,0.39,0.22,1.43,1.05,350.99,435.13,341.72
Fzd8,LC_DCT_LC_UP,0.74,0.6,0.46,0.72,0.87,4.26,4.3,4.68
Fxyd7,LC_DCT_LC_UP,0.6,0.19,0.56,2.51,2.12,10.29,10.53,12.78
Fxyd6,LC_DCT_LC_UP,16.83,16.81,14.95,34.19,37.85,441.78,461.87,427.11
Fxyd1,LC_DCT_LC_UP,140.32,151.34,76.25,102.16,127.45,704.06,685.19,680.2
Fut8,LC_DCT_LC_UP,1.81,2.16,2.33,6.37,5.71,18.68,19.41,18.87
Fth1,LC_DCT_LC_UP,578.72,573.73,419.88,1527.72,1581.33,5102.25,5702.38,5060.88
Frzb,LC_DCT_LC_UP,0.62,0.72,0.91,0.95,1.22,153.44,164.63,149
Frmd8os,LC_DCT_LC_UP,0.85,0,1.23,1.83,1.64,6.05,8.11,6.01
Foxc2,LC_DCT_LC_UP,1.36,1.55,0.94,0.79,0.65,8.14,9.94,8.75
Foxa3,LC_DCT_LC_UP,0,0,0,0,0.03,3.31,3.55,3.35
Foxa2,LC_DCT_LC_UP,0.03,0,0,0,0,1.27,1.8,0.86
Fosb,LC_DCT_LC_UP,1.41,1.15,0.71,1.05,0.84,148.7,143.43,155.01
Fos,LC_DCT_LC_UP,35.45,36.48,33.95,23.29,22.98,3648.3,4254.21,3664.69
Fndc5,LC_DCT_LC_UP,1.24,1.31,1.06,0.79,0.59,8.57,9,7.66
Fndc1,LC_DCT_LC_UP,5.67,6.29,5.01,11.4,9.58,40.58,43.75,37.75
Fn1,LC_DCT_LC_UP,30.84,34.74,25.61,81.62,79.43,191.12,203.28,186.12
Fmod,LC_DCT_LC_UP,1.6,1.82,1.72,26.32,23.08,718.01,789.37,695.41
Flnc,LC_DCT_LC_UP,1.56,1.55,0.85,0.67,0.55,10.75,12.46,10.7
Fjx1,LC_DCT_LC_UP,1.44,1.53,1.96,2.48,2.51,8.69,11.34,9.8
Fitm1,LC_DCT_LC_UP,15.31,13.65,8.9,6.37,5.55,60.93,71.22,68.64
Filip1,LC_DCT_LC_UP,0.48,0.77,0.7,1.75,1.08,9.36,8.51,10.7
Fibin,LC_DCT_LC_UP,0.78,1.03,1.27,2.28,3.12,51.27,52.49,50.01
Fhl1,LC_DCT_LC_UP,112.24,112.13,75.62,55.68,47.4,501.06,505.66,502.36
Fgfrl1,LC_DCT_LC_UP,4.7,4.04,2.07,3.94,3.72,47.62,52.16,42.99
Fgfr3,LC_DCT_LC_UP,17.09,17.21,21.63,30.28,23.37,130.54,126.04,121.13
Fgfr1,LC_DCT_LC_UP,10.19,11.79,10.12,38.96,32.81,112.06,132.76,112.58
Fgf9,LC_DCT_LC_UP,0.04,0.11,0.19,0.54,0.6,3.9,3.22,4.16
Fgf7,LC_DCT_LC_UP,2.51,2.46,1.61,5.73,4.52,30.34,33.16,31.67
Fgf2os,LC_DCT_LC_UP,0.1,0.07,0,0.03,0.05,2.9,3.53,3.35
Fgf2,LC_DCT_LC_UP,0.68,0.89,0.44,1.04,0.91,13.65,15.41,14.09
Fgf18,LC_DCT_LC_UP,0.88,0.61,1.35,2.94,3.67,15.09,13,14.44
Fermt2,LC_DCT_LC_UP,13.22,12.5,11.51,26.23,20.03,93,89.96,84.69
Fbxw17,LC_DCT_LC_UP,7.14,5.15,4.77,8.44,9.67,31.62,28.92,31.9
Fbxo44,LC_DCT_LC_UP,1.56,1.23,2.17,2.47,2.26,10.45,12.81,10.26
Fbxo40,LC_DCT_LC_UP,0.76,0.86,0.69,0.33,0.28,7.36,6.38,6.29
Fbxo2,LC_DCT_LC_UP,0.65,0.74,0.29,4.57,4.89,82.17,89.9,78.71
Fbxl2,LC_DCT_LC_UP,0.46,0.63,0.41,1.92,1.99,14.79,15.62,14.85
Fbln7,LC_DCT_LC_UP,1.8,1.78,1.39,1.14,1.21,45.49,50.68,44.12
Fap,LC_DCT_LC_UP,3.98,4.49,4.15,2.89,3.29,36.19,35.96,37.46
Fam71a,LC_DCT_LC_UP,0,0,0,0,0,1.49,2.06,1.4
Fam229b,LC_DCT_LC_UP,1.81,2.88,1.62,2.16,3.65,13.78,15.38,16.17
Fam221b,LC_DCT_LC_UP,0.05,0.1,0.13,0.1,0.18,1.86,2.6,1.79
Fam19a5,LC_DCT_LC_UP,2.13,2.06,2.28,0.64,0.61,32.71,34.65,30.98
Fam195a,LC_DCT_LC_UP,8.68,9.43,4.81,13.71,14.29,36.97,46.5,32.22
Fam188b,LC_DCT_LC_UP,1,1.39,1.22,2.64,2.71,9.38,16.46,11.83
Fam149a,LC_DCT_LC_UP,0.93,0.63,0.78,2.94,2.8,11.59,12.47,12.55
Fam129a,LC_DCT_LC_UP,5.98,5.48,5.1,5.7,4.75,26.36,27.32,23.85
Fam124a,LC_DCT_LC_UP,0.65,0.72,0.32,2.24,2.06,11.44,12.96,14.47
Fam101a,LC_DCT_LC_UP,6.29,6.61,5.29,2.98,2.38,65.58,72.86,64.42
Faim2,LC_DCT_LC_UP,0.59,0.88,0.87,0.17,0.13,5.76,5.93,5.78
Fads1,LC_DCT_LC_UP,5.65,5.51,6.03,6.46,5.67,18.86,20.15,18.57
Fabp3,LC_DCT_LC_UP,39.47,37.71,33.39,13.47,11.83,271.65,332.18,271.72
F930015N05Rik,LC_DCT_LC_UP,0,0.08,0,0.14,0.24,11.19,12.99,9.64
Extl1,LC_DCT_LC_UP,3.3,5.66,6.25,11.26,13.58,29.94,30.48,29.85
Exoc3l4,LC_DCT_LC_UP,0.8,0.77,0.59,0.75,0.63,3.86,5,4.61
Evc2,LC_DCT_LC_UP,2.59,2.64,2.48,3.79,3.61,11.36,12.84,10.62
Evc,LC_DCT_LC_UP,2.24,2.44,2.16,5.12,5.06,14.59,16.8,15.86
Etv5,LC_DCT_LC_UP,4.48,5.31,3.1,4.34,3.7,31.27,32.24,32.05
Etnppl,LC_DCT_LC_UP,0,0,0.03,0.26,0.36,6,6.97,6.36
Etnk2,LC_DCT_LC_UP,0.16,0.24,0.23,0.4,0.57,3.23,3.82,3.61
Erg,LC_DCT_LC_UP,0.34,0.6,0.76,1.47,0.81,12.62,14.25,12.88
Eps8,LC_DCT_LC_UP,3.84,5.9,5.3,5.9,4.7,26.7,31.88,26.78
Epm2a,LC_DCT_LC_UP,0.29,0.37,0.13,0.99,1.11,4.48,6.53,5.29
Ephx1,LC_DCT_LC_UP,25.76,28.09,24.44,32.16,33.68,108,122.57,107.28
Epas1,LC_DCT_LC_UP,6.33,6.04,4.86,8.9,8.16,26.33,28.76,26.13
Enpp2,LC_DCT_LC_UP,11.77,12.89,14.83,42.8,44.26,124.23,128.53,120.19
Enpp1,LC_DCT_LC_UP,2.1,2.18,2.85,2.88,2.97,14.45,14.22,12.76
Eno2,LC_DCT_LC_UP,0.57,0.8,0.24,1.97,1.27,9.34,8.77,8.5
Enkur,LC_DCT_LC_UP,0.13,0,0.14,0.48,0.79,7.02,6.77,8.11
Enho,LC_DCT_LC_UP,4.7,3.85,2.88,4.88,3.73,35.62,47.08,38.64
Emx2,LC_DCT_LC_UP,0.8,0.29,0.7,2.18,3.52,18.65,18.15,20.54
Emilin3,LC_DCT_LC_UP,0.02,0.08,0.19,0.43,0.44,2.91,3.51,2.79
Emilin1,LC_DCT_LC_UP,5.47,4.61,3.85,12.82,7.49,41.03,48.47,35.43
Eln,LC_DCT_LC_UP,14.44,13.78,7.31,24.11,25.5,535.77,542.56,523.8
Elf3,LC_DCT_LC_UP,1.03,0.63,0.54,0.28,0.19,4.02,6.73,5.05
Eif3s6-ps2,LC_DCT_LC_UP,0,0,0,0,0,7.12,12.06,11.43
Eif1b,LC_DCT_LC_UP,26.2,24.88,25.52,35.23,34.93,86.47,85.13,87.55
Ehd3,LC_DCT_LC_UP,3.67,3.08,2.84,1.82,2.03,11.67,12.22,11.83
Ehbp1l1,LC_DCT_LC_UP,5.89,5.69,3.68,8.21,7.24,32.88,38.2,32.51
Egr1,LC_DCT_LC_UP,52.84,53.93,54.55,23.41,23.46,932.33,965.88,948.38
Efr3b,LC_DCT_LC_UP,0.13,0.14,0.11,0.16,0.09,2.27,1.93,2.18
Efemp2,LC_DCT_LC_UP,12.81,13.95,8.33,21.65,18.56,92.22,105.17,85.34
Ecm2,LC_DCT_LC_UP,3.86,3.73,2.47,18.72,19.46,97.94,89.8,96.93
Dync2li1,LC_DCT_LC_UP,10.49,7.34,10.68,6.93,6.94,29.31,33.89,33.15
Dync1i1,LC_DCT_LC_UP,0.37,0.57,0.29,0.2,0.44,14.65,13.28,13.27
Dusp27,LC_DCT_LC_UP,0.46,0.67,0.51,0.18,0.21,5.39,5.72,5.22
Dusp26,LC_DCT_LC_UP,1.48,2.14,1.34,1.73,1.72,10.41,13.61,9.32
Dusp13,LC_DCT_LC_UP,2.32,2.79,3.46,2.75,3.3,12.55,12.61,13.12
Dusp1,LC_DCT_LC_UP,23.21,22.64,25.51,65.68,61.21,693.73,779.32,665.64
Dupd1,LC_DCT_LC_UP,1.01,0.81,0.43,0.61,0.2,6.21,8.43,4.32
Dtx3,LC_DCT_LC_UP,11.3,9.02,8.75,14.16,12.35,40.16,42.57,36.94
Dtna,LC_DCT_LC_UP,1.32,1.53,0.92,0.95,0.53,8.84,9.87,9.64
Dpysl4,LC_DCT_LC_UP,0.21,0.36,0.13,0.51,0.37,15.36,18.86,15.39
Dok7,LC_DCT_LC_UP,0.14,0.15,0.15,0.44,0.38,6.26,6.58,5.96
Dok1,LC_DCT_LC_UP,6.08,6.48,3.66,5.85,4.41,40.25,53.56,44.15
Dnm1,LC_DCT_LC_UP,2.38,2.84,0.96,9.97,10.6,38.26,38.21,38.93
Dnajc22,LC_DCT_LC_UP,0.24,0.06,0.05,0.15,0.09,3.54,5.24,3.95
Dmwd,LC_DCT_LC_UP,4.42,4.71,2.89,4.28,3.39,15.48,18.56,12.65
Dmrtc1a,LC_DCT_LC_UP,0,0.09,0,0.04,0.14,2.65,4.11,1.77
Dlx6os1,LC_DCT_LC_UP,0,0,0.06,0.08,0,4.6,4.03,5.21
Dlx6,LC_DCT_LC_UP,0.24,0.12,0.32,0.13,0.26,18.11,19.99,19.71
Dlx5,LC_DCT_LC_UP,1.39,1.82,2.48,11.4,11.88,95.25,99.28,105.52
Dlgap1,LC_DCT_LC_UP,0.21,0.2,0.53,0.66,0.53,6.06,7.54,6.03
Dlc1,LC_DCT_LC_UP,3.34,3.81,2.46,9.67,9.22,41.14,48.27,44.34
Dkk3,LC_DCT_LC_UP,6.81,6.64,8.76,12.7,12.52,162.96,183.43,162.36
Dixdc1,LC_DCT_LC_UP,0.79,0.97,0.99,2.33,2.71,36.51,30,31.07
Disp1,LC_DCT_LC_UP,1.34,1.01,1.22,4.6,3.56,13.41,14.49,13.74
Dhx58os,LC_DCT_LC_UP,0.14,0.06,0.14,0.95,0.67,33.68,36.5,38.44
Dhrs7c,LC_DCT_LC_UP,3.59,4.28,2.59,1.71,1.22,11.99,15.42,12.41
Dhrs11,LC_DCT_LC_UP,2.56,1.92,2.16,4.24,4.56,14,18.71,13.67
Des,LC_DCT_LC_UP,35.94,32.54,18.96,11.84,11.01,279.46,326.35,268.28
Dennd4b,LC_DCT_LC_UP,0.69,0.93,0.59,1.28,0.9,6.09,4.17,3.8
Ddx58,LC_DCT_LC_UP,7.56,6.46,4.2,8.39,7.43,27.86,18.33,26.54
Ddo,LC_DCT_LC_UP,0.39,0.26,0.28,0.37,0.3,3.09,4.01,3.05
Ddit3,LC_DCT_LC_UP,11.14,12.2,15.64,25.83,25.71,72.89,89.09,80.67
Dcaf12l1,LC_DCT_LC_UP,0.14,0.07,0.18,0.19,0.06,2.97,2.65,2.99
Dand5,LC_DCT_LC_UP,1.4,1.41,0.84,2.29,2.41,8.58,8.74,7.99
Dact3,LC_DCT_LC_UP,1.14,1.03,0.59,3.01,3.36,12.15,13.85,13.23
Daam2,LC_DCT_LC_UP,0.47,0.28,0.27,1.39,1.41,11.84,12.26,11.4
D630036G22Rik,LC_DCT_LC_UP,0.22,0.24,0.45,0.65,0.42,7.71,9.15,8.89
D630008O14Rik,LC_DCT_LC_UP,0.32,0.14,0.44,0.29,0.26,1.74,3.06,3.32
D630003M21Rik,LC_DCT_LC_UP,0.21,0.11,0.13,0.78,0.69,5.05,5.89,4.98
Cytl1,LC_DCT_LC_UP,3.31,3.42,0.41,16.84,16.47,47488.02,45029.82,46478.66
Cys1,LC_DCT_LC_UP,1.22,0.83,0.46,4.73,4.55,17.97,17.25,15.24
Cyr61,LC_DCT_LC_UP,18.12,19.12,20.97,14.8,13.62,1419.79,1564.53,1399.01
Cyp2d22,LC_DCT_LC_UP,1.24,0.7,0.8,1.66,1.33,15.03,16.66,14.64
Cyp26b1,LC_DCT_LC_UP,5.38,4.86,3.74,11.17,11.87,40.7,35.28,41.76
Cyp26a1,LC_DCT_LC_UP,0.37,0.31,0.58,0.56,0.5,84.92,94.43,84.01
Cxxc5,LC_DCT_LC_UP,9.83,10.87,7.71,11.2,10.86,28.92,32.69,33.35
Cxx1c,LC_DCT_LC_UP,5.08,4.75,5.45,7.5,8.14,23.62,21.8,24.36
Cxx1a,LC_DCT_LC_UP,12.9,14.9,10.28,18.39,15.96,38.99,45.7,41.55
Cxcl9,LC_DCT_LC_UP,0.87,1.45,0.15,0.56,0.72,14.62,11.44,15.02
Cxcl2,LC_DCT_LC_UP,0.07,0,0.07,0.59,0.35,12.76,8.65,10.93
Cxcl10,LC_DCT_LC_UP,5,4,1.71,3.4,2.56,94.39,117.08,100.39
Cxcl1,LC_DCT_LC_UP,0.62,0.88,0.42,1.44,1.12,246.87,226.36,262.36
Cx3cl1,LC_DCT_LC_UP,2.32,2.05,3.15,4,4.17,20.79,20.87,20.05
Cuedc1,LC_DCT_LC_UP,4.9,4.82,3.44,18.42,21.04,76.75,82.13,74.71
Ctxn3,LC_DCT_LC_UP,1.83,2.04,0.66,0.21,0.33,7.79,6.43,7.57
Ctgf,LC_DCT_LC_UP,12.42,12.76,8.07,21.83,17.04,1016.99,1208.82,1013
Ctdspl,LC_DCT_LC_UP,13.41,14.29,9.13,17.54,15.99,39.34,44.51,41.1
Cstad,LC_DCT_LC_UP,0.31,0.64,0.1,0.72,0.1,3.67,4.12,6.65
Cst3,LC_DCT_LC_UP,926,948.22,629.89,1945.78,1777.95,16320.59,18220.46,16242.19
Csrp3,LC_DCT_LC_UP,29.23,29.58,16.36,11.21,12.14,550.95,640.94,558.06
Csrp1,LC_DCT_LC_UP,78.43,75.92,124.49,93.54,88.02,818.31,893.36,786.77
Cspg4,LC_DCT_LC_UP,5.16,4.73,3.39,4.47,4.22,41.48,46.8,40.35
Cry2,LC_DCT_LC_UP,4.63,4.25,3.72,20.39,21.93,58.03,64.23,57.67
Crtap,LC_DCT_LC_UP,29.47,26.86,19.31,73.17,58.43,151.86,163.8,140.31
Crlf3,LC_DCT_LC_UP,17.8,18.08,25.94,16.33,13.83,69.71,71.85,72.57
Crispld2,LC_DCT_LC_UP,5.33,5.58,3.24,22.51,21.53,72.12,76,66.9
Crispld1,LC_DCT_LC_UP,0.7,0.96,0.58,0.85,0.58,57.17,60.67,56.06
Crhr2,LC_DCT_LC_UP,0.67,0.79,0.21,0.74,0.49,9.72,10.27,10.36
Creb3l2,LC_DCT_LC_UP,2.21,2.69,1.97,2.26,2.27,9.79,10.17,9.44
Cracr2b,LC_DCT_LC_UP,24.37,21.39,18.59,43.03,37.54,148.15,150.72,149.6
Cpxm2,LC_DCT_LC_UP,4.55,5.14,3.91,10.14,8.56,29.24,31.98,26.7
Cpt1c,LC_DCT_LC_UP,0.8,1.13,1.1,2.16,2.35,9.58,10.62,7.79
Cpt1b,LC_DCT_LC_UP,3.43,3.47,3.04,1.59,2.01,17.65,22.3,17.47
Cped1,LC_DCT_LC_UP,2.48,2.02,1.47,3.28,3.28,14.81,15.16,14.21
Cpe,LC_DCT_LC_UP,57.74,60.63,50.9,110.79,107.06,904.26,948.72,875.11
Cp,LC_DCT_LC_UP,4.71,6.05,4.96,15.11,11.95,46.66,39.53,42.59
Cox8b,LC_DCT_LC_UP,160.99,157.6,105.62,68.84,72.11,675.17,730.35,671.81
Cox7a1,LC_DCT_LC_UP,63.33,59.22,60.35,34.77,28.35,346,360.84,337.26
Cox6a2,LC_DCT_LC_UP,89.04,90.81,68.37,34.77,31.87,707.69,780.61,728.27
Cox4i2,LC_DCT_LC_UP,29,33.19,20.54,12.18,12.34,79.7,84.29,74.83
Coro6,LC_DCT_LC_UP,2.9,2.81,3.59,1.27,1.17,16.37,19.86,15.79
Corin,LC_DCT_LC_UP,1.23,1.2,1.52,0.12,0.21,77.02,74.4,76.67
Coq10a,LC_DCT_LC_UP,3.1,3.09,4.89,6.81,7.45,31.21,34.57,31.42
Comp,LC_DCT_LC_UP,0.12,0.22,0.06,0.91,0.79,1116.83,1392.29,1056.09
Colq,LC_DCT_LC_UP,0.32,0.28,0.13,0.32,0.39,3.05,3.61,2.78
Colgalt2,LC_DCT_LC_UP,0.13,0.11,0.14,0.38,0.16,8.61,9.37,8.43
Colec12,LC_DCT_LC_UP,3.47,3.88,3.46,17.25,16.21,94.58,103.5,94.75
Col9a3,LC_DCT_LC_UP,1.22,1.38,0.92,1.36,1.3,216.72,221.35,196.16
Col9a2,LC_DCT_LC_UP,0.05,0.18,0.02,0.23,0.27,34.7,37.27,32.24
Col9a1,LC_DCT_LC_UP,0.02,0.06,0,0.43,0.45,51.5,55.97,53.37
Col8a2,LC_DCT_LC_UP,0.98,0.91,1.24,2.87,2.35,81,81.52,77.59
Col8a1,LC_DCT_LC_UP,0.65,0.65,0.87,12.05,11.23,487.38,512.98,493.75
Col2a1,LC_DCT_LC_UP,0.08,0.05,0.09,0.22,0.21,68.52,77.09,66.3
Col27a1,LC_DCT_LC_UP,0.94,0.79,0.45,4.33,3.71,224.85,224.72,223.36
Col22a1,LC_DCT_LC_UP,0.02,0.17,0.2,0.39,0.3,3.93,2.92,3.97
Col16a1,LC_DCT_LC_UP,41.46,44.54,29.12,49.55,50.51,113.92,122.04,98.53
Col11a2,LC_DCT_LC_UP,0.07,0.12,0.2,0.48,0.48,44.37,49.12,45.54
Col11a1,LC_DCT_LC_UP,1.58,1.19,1.06,1.86,2.3,57.95,52.1,63.87
Col10a1,LC_DCT_LC_UP,0,0.03,0,0.03,0.02,40.64,34.55,38.28
Cmya5,LC_DCT_LC_UP,1.85,2.08,1.52,0.72,0.65,15.88,15.93,15.14
Cmklr1,LC_DCT_LC_UP,0.73,0.98,0.59,0.61,0.63,6.33,8.55,8.69
Clu,LC_DCT_LC_UP,291.23,286.23,222.18,105.14,84.07,1459.35,1645.86,1419.41
Clip3,LC_DCT_LC_UP,1.09,0.98,1.06,1.76,1.79,12.81,12.2,12.9
Clec3a,LC_DCT_LC_UP,0,0,0,0,0,54.3,67.96,52.61
Cldn2,LC_DCT_LC_UP,0.07,0.06,0,0.05,0,6.08,7.09,6.64
Clcn1,LC_DCT_LC_UP,1,0.62,0.75,0.51,0.46,5.09,5.75,5
Clcf1,LC_DCT_LC_UP,1.1,1.09,1,3.1,2.38,8.41,10.36,7.21
Ckmt2,LC_DCT_LC_UP,25.39,26.15,35.67,19.39,17.04,270.02,310.6,258.97
Cilp2,LC_DCT_LC_UP,0.32,0.18,0.7,2.27,1.38,89.64,110.99,86.84
Chst5,LC_DCT_LC_UP,0.26,0.19,0.08,0.16,0.03,4.11,3.76,4.42
Chst2,LC_DCT_LC_UP,0.49,0.45,0.47,0.91,1.01,5.98,7.55,6.2
Chst12,LC_DCT_LC_UP,13.09,14.55,9.72,29,25.14,66.06,71.14,62.72
Chst11,LC_DCT_LC_UP,0.51,0.46,0.61,0.57,0.62,6.02,6.51,5.71
Chrne,LC_DCT_LC_UP,0.48,0.41,0.41,0.8,1.09,13.84,18.45,12.94
Chrnd,LC_DCT_LC_UP,0,0.23,0.05,0.09,0.07,1.6,1.69,2.12
Chrnb1,LC_DCT_LC_UP,1.62,1.72,2.23,1.34,1.34,9.79,13.18,9.86
Chrdl2,LC_DCT_LC_UP,0.1,0.37,0.33,0,0,4.27,4.28,2.97
Chka,LC_DCT_LC_UP,4.75,4,5.56,8.85,7.51,23.92,24.22,24.7
Chil1,LC_DCT_LC_UP,6.37,6.71,7.76,51.16,47.92,319.79,370.68,316.68
Chek2,LC_DCT_LC_UP,58.36,49.7,93.92,47.41,48.03,409.47,258.42,407.26
Chchd10,LC_DCT_LC_UP,78.66,78.54,57.6,91.01,69.2,329.16,351.86,310.47
Chadl,LC_DCT_LC_UP,1.11,1.42,1.67,4.39,4.02,58.96,71.68,56.88
Chad,LC_DCT_LC_UP,0.04,0.16,0,3.47,4.26,1875.83,2144.92,1876.67
Cfap70,LC_DCT_LC_UP,0,0.05,0.26,0.8,0.11,3.19,2.54,3.74
Cers1,LC_DCT_LC_UP,0.54,0.29,0.16,1.39,0.72,4.26,6.06,3.72
Cep85l,LC_DCT_LC_UP,0.65,1.02,0.61,1.35,1.64,8.45,9.44,8.07
Cep57,LC_DCT_LC_UP,28.27,31.2,52.92,31.55,41.85,174.54,107.37,163.9
Cebpd,LC_DCT_LC_UP,18.04,20.32,20.75,61.94,42.18,307.25,432.77,293.49
Cdon,LC_DCT_LC_UP,0.77,0.9,0.59,1.94,2.03,11.26,10.71,11.61
Cdo1,LC_DCT_LC_UP,22.23,21.83,10.9,9.98,10.02,203.3,206.3,204.66
Cdkn1c,LC_DCT_LC_UP,9.59,10.29,9.93,33.44,28.44,169.14,200.19,171.42
Cdh15,LC_DCT_LC_UP,0.32,0.28,0.1,0.08,0.09,2.77,3.05,2.19
Cdc42ep3,LC_DCT_LC_UP,26.01,24.42,26.16,9.99,11.51,102.35,103.82,110.03
Cd28,LC_DCT_LC_UP,0.13,0.12,0.11,0.43,0.56,18.19,18.73,19.37
Cd200,LC_DCT_LC_UP,82.25,93.55,72.71,135.09,121.02,562.54,630.81,577.01
Ccno,LC_DCT_LC_UP,0.08,0,0,0.08,0.07,2.25,2.34,2.94
Ccnl1,LC_DCT_LC_UP,20.29,18.43,22.98,30.9,31.26,84.29,86.26,93.02
Ccl2,LC_DCT_LC_UP,7.6,8.31,4.11,17.63,15.58,43.86,38.55,46.18
Cchcr1,LC_DCT_LC_UP,4.65,4.49,7.2,6.51,6.7,24.36,17.42,20.93
Ccdc88a,LC_DCT_LC_UP,1.46,1.06,1.47,2.94,2.69,10.03,8.56,9.82
Ccdc80,LC_DCT_LC_UP,45.84,44.55,34.27,90,93.72,467.58,519.48,456.82
Cc2d2a,LC_DCT_LC_UP,1.31,1.51,1.2,2.61,2.51,10.93,9.52,9.55
Cav3,LC_DCT_LC_UP,9.4,9.09,4.79,4.04,2.71,33.51,33.38,29.13
Carns1,LC_DCT_LC_UP,0.69,0.85,0.54,1.58,1.1,8.81,10.18,9.13
Caprin2,LC_DCT_LC_UP,5.29,7.1,12.4,5.71,7.31,35.47,21.54,25.13
Cap2,LC_DCT_LC_UP,2.19,2.25,1.55,0.91,0.7,11.06,11.68,11.39
Camk2b,LC_DCT_LC_UP,1.46,1.06,0.78,1.75,1.56,11.98,11.68,10.94
Calml4,LC_DCT_LC_UP,3.38,3.17,0.94,3.43,4.2,22.23,24.84,20.51
Cadm1,LC_DCT_LC_UP,9.11,7.56,12.5,11.61,13.47,59.39,63.83,56.84
Cacng1,LC_DCT_LC_UP,7.12,6.77,5.06,4.39,4.55,41.35,49.68,46.01
Cacnb4,LC_DCT_LC_UP,0.08,0.05,0.1,0.37,0.26,3.34,2.93,3.33
Cacnb1,LC_DCT_LC_UP,4.75,4.93,2.63,3.29,2.71,20.5,25.14,19.66
Cacna1s,LC_DCT_LC_UP,11.37,10.61,4.94,2.92,3.25,47.79,64.37,53.06
C630043F03Rik,LC_DCT_LC_UP,0.38,0.55,0.72,0.51,0.87,4.76,5.21,5.65
C4b,LC_DCT_LC_UP,27.19,28.94,11.61,21.66,22.75,199.55,210.62,197.25
C4a,LC_DCT_LC_UP,0.99,0.53,0,1.49,1.11,6.29,6.45,7.42
C3,LC_DCT_LC_UP,13.17,12.72,4.54,8.43,11.08,37.78,38.7,35.6
C1s2,LC_DCT_LC_UP,0.06,0,0,0.16,0,2.42,2,2.51
C1rb,LC_DCT_LC_UP,0,0,0,0.02,0,1.89,2.23,2.42
C1qtnf7,LC_DCT_LC_UP,3.26,2.68,1.78,3.94,3.49,31.36,38.59,34.52
C1qtnf5,LC_DCT_LC_UP,8.52,7.56,2.98,7.51,6.67,34.46,42.96,33.18
C030013C21Rik,LC_DCT_LC_UP,0.86,0.8,0.31,0.29,0.7,5.04,5.3,6.6
Bves,LC_DCT_LC_UP,1.24,1.15,1.01,0.62,0.17,6.93,9.32,4.7
Btg2,LC_DCT_LC_UP,45.03,44.99,54.16,47.14,45.64,587.31,603.5,580.5
Brd2,LC_DCT_LC_UP,45.99,48.22,35.78,56.32,47.58,140.53,145.15,140.33
Bpifb5,LC_DCT_LC_UP,0,0.06,0,0.07,0.17,2.22,1.72,1.97
Bpifa2,LC_DCT_LC_UP,0,0,0.15,0,0,15.89,17.54,16.86
Bod1,LC_DCT_LC_UP,19.22,19.6,14.09,24.43,23.67,58.53,60.23,52.15
Boc,LC_DCT_LC_UP,2.26,2.29,2.63,6.43,5.52,61.81,64.27,60.06
Bmper,LC_DCT_LC_UP,1.97,1.94,2.24,2.28,2.09,13.16,14.52,13.08
Bmp5,LC_DCT_LC_UP,0,0.02,0.17,0.63,0.61,52.58,44.93,54.8
Bin1,LC_DCT_LC_UP,11.35,10.41,8.48,10.5,10.91,69.83,73.46,71.87
Bicc1,LC_DCT_LC_UP,2.21,2.46,1.45,11.15,11.11,106.31,111.38,107.81
Bhmt,LC_DCT_LC_UP,0,0,0.05,0.06,0.18,13.73,15.24,12.31
Bhlhe40,LC_DCT_LC_UP,13.27,13.03,18.53,15.66,15.95,154.55,163.86,152.16
Bgn,LC_DCT_LC_UP,52.53,54.3,39.65,131.39,135.19,741.36,756.07,732.95
Bex2,LC_DCT_LC_UP,0.89,0.47,1.16,1.36,0.97,5.14,6.6,4.83
Bex1,LC_DCT_LC_UP,3.58,4.19,3.05,3.22,2.41,21.09,22.51,20.1
Bdkrb1,LC_DCT_LC_UP,0.21,0.15,0.12,0.62,0.58,4.11,5.56,5.14
Bdh2,LC_DCT_LC_UP,2.97,2.17,1.36,3.32,3.38,22.62,24.41,21.3
Bcl2,LC_DCT_LC_UP,1.69,1.69,2.08,2.49,2.27,12.37,12.91,13.43
Bcat1,LC_DCT_LC_UP,0.47,0.46,0.29,3.44,3.93,15.18,15.2,17.34
Bcan,LC_DCT_LC_UP,0.02,0,0.05,0.37,0.21,2.11,2.87,3
BC051142,LC_DCT_LC_UP,0,0,0.14,0.04,0.04,1.83,2.19,1.39
Bbx,LC_DCT_LC_UP,5.88,6.23,8.97,7.22,8.21,24.44,26.88,25.63
Barx1,LC_DCT_LC_UP,0,0,0.05,0.06,0,3.48,5.24,4.09
Bag3,LC_DCT_LC_UP,13.05,13.69,11.13,14.8,14.06,40.9,43.58,41.63
